multiplier,search_seed,layout,replicate,mc_seed,revenue,cf_revenue
1,2,sa,10,1000010,782017.3110,781241.8365
1,2,sa,11,1000011,782127.9227,781241.8365
1,2,sa,12,1000012,778623.3237,781241.8365
1,2,sa,13,1000013,783100.9903,781241.8365
1,2,sa,14,1000014,780327.4148,781241.8365
1,2,sa,15,1000015,779057.2616,781241.8365
1,2,sa,16,1000016,780659.0796,781241.8365
1,2,sa,17,1000017,783313.7772,781241.8365
1,2,sa,18,1000018,782351.3206,781241.8365
1,2,sa,19,1000019,781746.2716,781241.8365
1,2,sa,20,1000020,782234.6694,781241.8365
1,2,sa,21,1000021,781645.6930,781241.8365
1,2,sa,22,1000022,782752.4989,781241.8365
1,2,sa,23,1000023,779346.7633,781241.8365
1,2,sa,24,1000024,780034.9372,781241.8365
1,2,sa,25,1000025,779405.4056,781241.8365
1,2,sa,26,1000026,780051.0654,781241.8365
1,2,sa,27,1000027,781865.1210,781241.8365
1,2,sa,28,1000028,782696.4471,781241.8365
1,2,sa,29,1000029,779852.3483,781241.8365
1,2,sa_k,0,1000000,786412.7546,785479.3678
1,2,sa_k,1,1000001,786306.2670,785479.3678
1,2,sa_k,2,1000002,785402.6245,785479.3678
1,2,sa_k,3,1000003,783122.1268,785479.3678
1,2,sa_k,4,1000004,784748.9901,785479.3678
1,2,sa_k,5,1000005,784097.9087,785479.3678
1,2,sa_k,6,1000006,785365.6826,785479.3678
1,2,sa_k,7,1000007,785320.5446,785479.3678
1,2,sa_k,8,1000008,787281.5178,785479.3678
1,2,sa_k,9,1000009,787032.3920,785479.3678
1,2,sa_k,10,1000010,786260.3241,785479.3678
1,2,sa_k,11,1000011,786398.7385,785479.3678
1,2,sa_k,12,1000012,782834.1701,785479.3678
1,2,sa_k,13,1000013,787356.7962,785479.3678
1,2,sa_k,14,1000014,784566.3891,785479.3678
1,2,sa_k,15,1000015,783314.9564,785479.3678
1,2,sa_k,16,1000016,784946.3003,785479.3678
1,2,sa_k,17,1000017,787529.1229,785479.3678
1,2,sa_k,18,1000018,786601.1941,785479.3678
1,2,sa_k,19,1000019,785994.8373,785479.3678
